Nacionalna šifra zdravila;Ime zdravila;ATC;Naziv ATC;Lista;Omejitev predpisovanja in izdajanja v breme javnih sredstev;Datum prièetka veljavnosti
146387;Sclefic 50 mg film.obl.tbl. 56x;N07XX02;riluzol;VC;;27.5.2016
146388;Sertralin Actavis 100 mg film.obl.tbl. 100x;N06AB06;sertralin;PC70;;27.5.2016
146389;Sertralin Actavis 50 mg film.obl.tbl. 100x;N06AB06;sertralin;PC70;;27.5.2016
146394;Solatcit 10 mg film.obl.tbl. 98x;N06AB10;escitalopram;PC70;;27.5.2016
146400;Valsartan/hidroklorotiazid Actavis 160 mg/12,5 mg film.obl.tbl. 98x;C09DA03;valsartan in diuretiki;VC*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;27.5.2016
146401;Valsartan/hidroklorotiazid Actavis 160 mg/25 mg film.obl.tbl. 98x;C09DA03;valsartan in diuretiki;VC*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;27.5.2016
146402;Valsartan/hidroklorotiazid Actavis 80 mg/12,5 mg film.obl.tbl. 98x;C09DA03;valsartan in diuretiki;VC*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;27.5.2016
146403;Valsotens 160 mg film.obl.tbl. 98x;C09CA03;valsartan;VC*;1. Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke. 2. V kombinaciji z zaviralci angiotenzinske konvertaze za bolnike s srènim popušèanjem, ki so ob temeljni terapiji z zaviralci angiotenzinske konvertaze in zaviralci beta še vedno simptomatski.;27.5.2016
146405;Valsotens 80 mg film.obl.tbl. 98x;C09CA03;valsartan;VC*;1. Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke. 2. V kombinaciji z zaviralci angiotenzinske konvertaze za bolnike s srènim popušèanjem, ki so ob temeljni terapiji z zaviralci angiotenzinske konvertaze in zaviralci beta še vedno simptomatski.;27.5.2016
146408;RoActemra 162 mg razt.za inj. brizga 4x;L04AC07;tocilizumab;P70*;Za zdravljenje revmatoidnega artritisa v kombinaciji z metotreksatom pri odraslih bolnikih, ki se niso zadostno odzvali na predhodno zdravljenje z enim ali veè  imunomodulirajoèimi protirevmatiènimi zdravili in zaviralci tumorje nekrotizirajoèega faktorja, ali takšnega zdravljenja niso prenašali. Zdravilo lahko indicira revmatolog ali revmatološko usmerjen internist (tega doloèi Klinièni oddelek za revmatologijo) na osnovi izpolnjenih pogojev za uvedbo in prenehanje zdravljenja z biološkim zdravilom in je bolnik  vpisan in voden v elektronskem registru BioRx.si.;5.2.2016
146417;ANORO 55 mcg/22 mcg prašek za inhal. 30 odm.;R03AL03;vilanterol in umeklidinijev bromid;P70*;Za bolnike s KOPB v skupinah GOLD C in D. Za bolnike s KOPB v skupini GOLD B, kadar zdravljenje z enim dolgodelujoèim bronhodilatatorjem ni uèinkovito.;1.9.2015
146432;Olysio 150 mg trde kaps. 28x;J05AE14;simeprevir;P100*;Za zdravljenje kroniènega hepatitisa C pri odraslih bolnikih v kombinaciji z drugimi zdravili. Zdravilo sme indicirati le pooblašèeni specialist.;4.5.2015
146438;Jardiance 10 mg film.obl.tbl. 30x;A10BX12;empagliflozin;P100*;Za zdravljenje sladkorne bolezni tipa 2 le v: a) kombinaciji z metforminom ali pripravki sulfonilseènine/repaglinidom v primeru kontraindikacij za sulfonilseènino/repaglinid oziroma metformin ali neželenih uèinkov. b) trotirnem zdravljenju z optimalnimi odmerki metformina in sulfonilseènine/repaglinida, kadar imata bolnik ali zdravnik zadržek za zdravljenje z inzulinom. c) kombinaciji z inzulinom in metforminom (ali brez metformina v primeru kontraindikacij za metfomin ali neželenih uèinkov). Samo na osnovi izvida iz diabetološke ambulante s priporoèilom za predpis zdravila.;5.6.2015
146439;Jardiance 25 mg film.obl.tbl. 30x;A10BX12;empagliflozin;P100*;Za zdravljenje sladkorne bolezni tipa 2 le v: a) kombinaciji z metforminom ali pripravki sulfonilseènine/repaglinidom v primeru kontraindikacij za sulfonilseènino/repaglinid oziroma metformin ali neželenih uèinkov. b) trotirnem zdravljenju z optimalnimi odmerki metformina in sulfonilseènine/repaglinida, kadar imata bolnik ali zdravnik zadržek za zdravljenje z inzulinom. c) kombinaciji z inzulinom in metforminom (ali brez metformina v primeru kontraindikacij za metfomin ali neželenih uèinkov). Samo na osnovi izvida iz diabetološke ambulante s priporoèilom za predpis zdravila.;5.6.2015
146487;Flukloksacilin Altamedics 500 mg trde kaps. 20x;J01CF05;flukloksacilin;P70;;1.4.2015
146491;Gammanorm 165 mg/ml razt.za inj. viala 6 ml 10x;J06BA01;humani imunoglobulini za ekstravaskularno aplikacijo;P70*;Le za zdravljenje na domu kot nadaljevanje bolnišniènega zdravljenja bolnikov: a) s sindromom primarne imunske pomanjkljivosti. le na osnovi odloèitve konzilija za imunske pomanjkljivosti s sedežem na Pediatrièni kliniki UKC Ljubljana in pod nadzorom klinike, v kateri se je izvajalo bolnišnièno zdravljenje. b) z mielomom in kronièno limfatièno levkemijo s hudo sekundarno hipogamaglobulinemijo in ponavljajoèimi okužbami, kadar je predvideno zdravljenje z imunoglobulini vsaj eno leto. le na osnovi odloèitve komisije KO za hematologijo UKC Ljubljana.;20.7.2015
146495;Gammanorm 165 mg/ml razt.za inj. viala 24 ml 10x;J06BA01;humani imunoglobulini za ekstravaskularno aplikacijo;P70*;Le za zdravljenje na domu kot nadaljevanje bolnišniènega zdravljenja bolnikov: a) s sindromom primarne imunske pomanjkljivosti. le na osnovi odloèitve konzilija za imunske pomanjkljivosti s sedežem na Pediatrièni kliniki UKC Ljubljana in pod nadzorom klinike, v kateri se je izvajalo bolnišnièno zdravljenje. b) z mielomom in kronièno limfatièno levkemijo s hudo sekundarno hipogamaglobulinemijo in ponavljajoèimi okužbami, kadar je predvideno zdravljenje z imunoglobulini vsaj eno leto. le na osnovi odloèitve komisije KO za hematologijo UKC Ljubljana.;20.7.2015
146498;Gammanorm 165 mg/ml razt.za inj. viala 48 ml 10x;J06BA01;humani imunoglobulini za ekstravaskularno aplikacijo;P70*;Le za zdravljenje na domu kot nadaljevanje bolnišniènega zdravljenja bolnikov: a) s sindromom primarne imunske pomanjkljivosti. le na osnovi odloèitve konzilija za imunske pomanjkljivosti s sedežem na Pediatrièni kliniki UKC Ljubljana in pod nadzorom klinike, v kateri se je izvajalo bolnišnièno zdravljenje. b) z mielomom in kronièno limfatièno levkemijo s hudo sekundarno hipogamaglobulinemijo in ponavljajoèimi okužbami, kadar je predvideno zdravljenje z imunoglobulini vsaj eno leto. le na osnovi odloèitve komisije KO za hematologijo UKC Ljubljana.;20.7.2015
146500;Irbesartan Actavis 150 mg film.obl.tbl. 98x;C09CA04;irbesartan;VC*;1. Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke. 2. Kot druga izbira zdravljenja ali  v  kombinaciji z zaviralci angiotenzinske konvertaze za bolnike s kronièno ledvièno boleznijo.;27.5.2016
146501;Irbesartan Actavis 300 mg film.obl.tbl. 98x;C09CA04;irbesartan;VC*;1. Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke. 2. Kot druga izbira zdravljenja ali  v  kombinaciji z zaviralci angiotenzinske konvertaze za bolnike s kronièno ledvièno boleznijo.;27.5.2016
146514;Valdacir 500 mg film.obl.tbl. 42x;J05AB11;valaciklovir;VC;;27.5.2016
146527;Azafalk 50 mg film.obl.tbl. 100x;L04AX01;azatioprin;P70;;29.6.2015
146543;Moloxin 400 mg film.obl.tbl. 5x;J01MA14;moksifloksacin;PC70*;Predpisovanje omejeno na bolnike z doma pridobljeno pljuènico in KOPB, èe je zdravilo izbire neuspešno ali zdravljenje z njim ni mogoèe.;27.5.2016
146544;Moloxin 400 mg film.obl.tbl. 7x;J01MA14;moksifloksacin;PC70*;Predpisovanje omejeno na bolnike z doma pridobljeno pljuènico in KOPB, èe je zdravilo izbire neuspešno ali zdravljenje z njim ni mogoèe.;27.5.2016
146558;Ramelso 10 mg/10 mg trde kaps. 28x;C09BB07;ramipril in amlodipin;VC;;27.5.2016
146559;Ramelso 10 mg/5 mg trde kaps. 28x;C09BB07;ramipril in amlodipin;VC;;27.5.2016
146560;Ramelso 2,5 mg/5 mg trde kaps. 28x;C09BB07;ramipril in amlodipin;VC;;27.5.2016
146561;Ramelso 5 mg/10 mg trde kaps. 28x;C09BB07;ramipril in amlodipin;VC;;27.5.2016
146562;Ramelso 5 mg/5 mg trde kaps. 28x;C09BB07;ramipril in amlodipin;VC;;27.5.2016
146573;DuoResp Spiromax 160 mcg/4,5 mcg prašek za inhal. 120 odm.;R03AK07;formoterol in druge uèinkovine za obstruktivne pljuène bolezni;P70*;1. Za bolnike z astmo, ki imajo ob pravilnem prejemanju zmernega odmerka inhalacijskega glukokortikoida neurejeno astmo (rezultat kombiniranih vprašalnikov urejenosti astme je v obmoèju neurejene astme). 2. Za bolnike s KOPB v skupinah GOLD C in D.;5.2.2016
146574;DuoResp Spiromax 320 mcg/9 mcg prašek za inhal. 60 odm.;R03AK07;formoterol in druge uèinkovine za obstruktivne pljuène bolezni;P70*;1. Za bolnike z astmo, ki imajo ob pravilnem prejemanju zmernega odmerka inhalacijskega glukokortikoida neurejeno astmo (rezultat kombiniranih vprašalnikov urejenosti astme je v obmoèju neurejene astme). 2. Za bolnike s KOPB v skupinah GOLD C in D.;5.2.2016
146578;Kineret 100 mg/0,67 ml razt.za inj. brizga 28x;L04AC03;anakinra;P70*;1. Za zdravljenje revmatoidnega artritisa. Zdravilo lahko indicira revmatolog ali revmatološko usmerjen internist (tega doloèi Klinièni oddelek za revmatologijo) na osnovi izpolnjenih pogojev za uvedbo in prenehanje zdravljenja z biološkim zdravilom in je bolnik vpisan in voden v elektronskem registru BioRx.si. 2. Za zdravljenje s kriopirinom povezanih periodiènih sindromov. le na osnovi mnenja službe za alergologijo, revmatologijo in klinièno imunologijo Pediatriène klinike UKC Ljubljana in soglasja ZZZS.;3.3.2016
146599;Vesomni 6 mg/0,4 mg tbl.s prirej.sprošè. 30x;G04CA53;tamsulozin in solifenacin;V;;27.8.2015
146611;Plegridy 63 mcg razt.za inj.brizga 1x+Plegridy 94 mcg razt.za inj.brizga 1x;L03AB13;peginterferon beta-1a;P100*;Zdravilo prvega reda za zdravljenje bolnikov z multiplo sklerozo na podlagi pisnega mnenja Nevrološkega konzilija UKC Ljubljana ali UKC Maribor.;25.4.2016
146612;Plegridy 63 mcg razt.za inj.peresnik 1x+Plegridy 94 mcg razt.za inj.peresnik 1x;L03AB13;peginterferon beta-1a;P100*;Zdravilo prvega reda za zdravljenje bolnikov z multiplo sklerozo na podlagi pisnega mnenja Nevrološkega konzilija UKC Ljubljana ali UKC Maribor.;25.4.2016
146613;Plegridy 125 mcg razt.za inj. brizga 1x;L03AB13;peginterferon beta-1a;P100*;Zdravilo prvega reda za zdravljenje bolnikov z multiplo sklerozo na podlagi pisnega mnenja Nevrološkega konzilija UKC Ljubljana ali UKC Maribor.;25.4.2016
146615;Plegridy 125 mcg razt.za inj. peresnik 1x;L03AB13;peginterferon beta-1a;P100*;Zdravilo prvega reda za zdravljenje bolnikov z multiplo sklerozo na podlagi pisnega mnenja Nevrološkega konzilija UKC Ljubljana ali UKC Maribor.;25.4.2016
146637;Sibilla 2 mg/0,03 mg film.obl.tbl. 28x;G03AA16;dienogest in etinilestradiol;P100;;29.6.2015
146644;Triumeq 50 mg/600 mg/300 mg fil.obl.tbl. 30x;J05AR13;lamivudin, abakavir in dolutegravir;P100;;29.6.2015
146673;Ganaxa 450 mg film.obl.tbl. 60x;J05AB14;valganciklovir;PC100;;27.5.2016
146674;Gliklazid STADA 60 mg tbl.s prirej.sprošè. 30x;A10BB09;gliklazid;PC100;;27.5.2016
146697;Bydureon 2 mg prašek in vehikel za susp.s podaljš.sprošè.peresnik 4x;A10BX04;eksenatid;V*;1. Za bolnike s sladkorno boleznijo tipa 2 ob maksimalnih odmerkih dvotirne peroralne terapije, ki imajo indeks telesne mase enak ali višji od 35 kg/m2. le, èe je prišlo do znižanja glikiranega hemoglobina za veè kot eno odstotno toèko v 6 mesecih po uvedbi zdravljenja. 2. Za bolnike, ki jim je potrebno zdravljenje z inzulinom odložiti zaradi narave poklicnega dela.;5.5.2015
146700;Amlewel 2 mg/5 mg/0,625 mg tbl. 30x;C09BX01;perindopril, amlodipin in indapamid;VC;;27.5.2016
146701;Amlewel 4 mg/10 mg/1,25 mg tbl. 30x;C09BX01;perindopril, amlodipin in indapamid;VC;;27.5.2016
146702;Amlewel 4 mg/5 mg/1,25 mg tbl. 30x;C09BX01;perindopril, amlodipin in indapamid;VC;;27.5.2016
146703;Amlewel 8 mg/10 mg/2,5 mg tbl. 30x;C09BX01;perindopril, amlodipin in indapamid;VC;;27.5.2016
146704;Amlewel 8 mg/5 mg/2,5 mg tbl. 30x;C09BX01;perindopril, amlodipin in indapamid;VC;;27.5.2016
146708;Naklofen duo 75 mg kaps. 30x;M01AB05;diklofenak;V;;23.2.2015
146710;Nuwiq 250 i.e. prašek in vehikel za razt.za inj. viala 1x;B02BD02;koagulacijski faktor VIII;P100*;Za zdravljenje in prepreèevanje krvavitev pri bolnikih s hemofilijo A. Zdravilo lahko predpisujejo na recept le pooblašèeni zdravniki.;26.10.2015
146711;Nuwiq 500 i.e. prašek in vehikel za razt.za inj. viala 1x;B02BD02;koagulacijski faktor VIII;P100*;Za zdravljenje in prepreèevanje krvavitev pri bolnikih s hemofilijo A. Zdravilo lahko predpisujejo na recept le pooblašèeni zdravniki.;26.10.2015
146712;Nuwiq 1000 i.e. prašek in vehikel za razt.za inj. viala 1x;B02BD02;koagulacijski faktor VIII;P100*;Za zdravljenje in prepreèevanje krvavitev pri bolnikih s hemofilijo A. Zdravilo lahko predpisujejo na recept le pooblašèeni zdravniki.;26.10.2015
146713;Nuwiq 2000 i.e. prašek in vehikel za razt.za inj. viala 1x;B02BD02;koagulacijski faktor VIII;P100*;Za zdravljenje in prepreèevanje krvavitev pri bolnikih s hemofilijo A. Zdravilo lahko predpisujejo na recept le pooblašèeni zdravniki.;26.10.2015
146715;Imbruvica 140 mg trde kaps. 120x;L01XE27;ibrutinib;P100*;1. Za zdravljenje: 1.1. bolnikov s ponovitvijo limfoma plašènih celic ali z na zdravljenje neodzivno obliko te bolezni, ki so kandidati za avtologno presaditev kostnega mozga. 1.2. bolnikov s kronièno limfocitno levkemijo z velikim tveganjem (delecija 17p/tp53 ali delecija 11q ali kompleksni kariotip ali hitra ponovitev bolezni po drugem zdravljenju v manj kot 24 mesecev), ki niso primerni za intenzivno zdravljenje ali se ne odzovejo na zdravljenje z ofatumumabom ali so kandidati za alogensko presaditev kostnega mozga. 2. Le na osnovi odloèitve komisije KO za hematologijo UKC Ljubljana ali komisije za limfome Onkološkega inštituta Ljubljana.;26.10.2015
146717;Stayveer 62,5 mg film.obl.tbl. 56x;C02KX01;bosentan;VC*;Le za dodatno zdravljenje bolnikov s pljuèno hipertenzijo, pri katerih je dokazan signifikanten fiziološki odziv. le na osnovi mnenja konzilija za pljuèno hipertenzijo ali Kongenitalnega kardiološkega konzilija UKC Ljubljana.;27.5.2016
146718;Stayveer 125 mg film.obl.tbl. 56x;C02KX01;bosentan;VC*;Le za dodatno zdravljenje bolnikov s pljuèno hipertenzijo, pri katerih je dokazan signifikanten fiziološki odziv. le na osnovi mnenja konzilija za pljuèno hipertenzijo ali Kongenitalnega kardiološkega konzilija UKC Ljubljana.;27.5.2016
146723;Tapidola 100 mg/25 mg/200 mg film.obl.tbl. 30x;N04BA03;levodopa, zaviralec dekarboksilaze in zaviralec COMT;P70;;26.10.2015
146724;Tapidola 125 mg/31,25 mg/200 mg film.obl.tbl. 30x;N04BA03;levodopa, zaviralec dekarboksilaze in zaviralec COMT;P70;;26.10.2015
146725;Tapidola 150 mg/37,5 mg/200 mg film.obl.tbl. 30x;N04BA03;levodopa, zaviralec dekarboksilaze in zaviralec COMT;P70;;26.10.2015
146726;Tapidola 200 mg/50 mg/200 mg film.obl.tbl. 30x;N04BA03;levodopa, zaviralec dekarboksilaze in zaviralec COMT;P70;;26.10.2015
146727;Tapidola 50 mg/12,5 mg/200 mg film.obl.tbl. 30x;N04BA03;levodopa, zaviralec dekarboksilaze in zaviralec COMT;P70;;26.10.2015
146728;Tapidola 75 mg/18,75 mg/200 mg film.obl.tbl. 30x;N04BA03;levodopa, zaviralec dekarboksilaze in zaviralec COMT;P70;;26.10.2015
146730;Envarsus 0,75 mg tbl.s podaljš.sprošè. 30x;L04AD02;takrolimus;P70;;26.10.2015
146733;Envarsus 1 mg tbl.s podaljš.sprošè. 30x;L04AD02;takrolimus;P70;;26.10.2015
146735;Envarsus 1 mg tbl.s podaljš.sprošè. 90x;L04AD02;takrolimus;P70;;26.10.2015
146736;Envarsus 4 mg tbl.s podaljš.sprošè. 30x;L04AD02;takrolimus;P70;;26.10.2015
146741;Humalog 200 i.e./ml razt.za inj.peresnik 3 ml 5x;A10AB04;insulin lispro;P100;;1.4.2016
146743;Imbruvica 140 mg trda kaps. 90x;L01XE27;ibrutinib;P100*;1. Za zdravljenje: 1.1. bolnikov s ponovitvijo limfoma plašènih celic ali z na zdravljenje neodzivno obliko te bolezni, ki so kandidati za avtologno presaditev kostnega mozga. 1.2. bolnikov s kronièno limfocitno levkemijo z velikim tveganjem (delecija 17p/tp53 ali delecija 11q ali kompleksni kariotip ali hitra ponovitev bolezni po drugem zdravljenju v manj kot 24 mesecev), ki niso primerni za intenzivno zdravljenje ali se ne odzovejo na zdravljenje z ofatumumabom ali so kandidati za alogensko presaditev kostnega mozga. 2. Le na osnovi odloèitve komisije KO za hematologijo UKC Ljubljana ali komisije za limfome Onkološkega inštituta Ljubljana.;26.10.2015
146745;Zydelig 100 mg film.obl.tbl. 60x;L01XX47;idelalizib;P100*;1.1. V kombinaciji z rituksimabom za zdravljenje bolnikov s kronièno limfocitno levkemijo z velikim tveganjem (delecija 17p/tp53 ali delecija 11q ali kompleksni kariotip ali hitra ponovitev bolezni po drugem zdravljenju v manj kot 24 mesecih), ki niso primerni za intenzivno zdravljenje ali se ne odzovejo na zdravljenje z ofatumumabom ali so kandidati za alogensko presaditev kostnega mozga. 1.2. Kot monoterapija za zdravljenje odraslih bolnikov s folikularnim limfomom, neodzivnim na dve predhodni obliki zdravljenja. 2 Le na osnovi odloèitve Komisije KO za hematologijo UKC Ljubljana ali Komisije za limfome Onkološkega inštituta Ljubljana.;1.4.2016
146746;Zydelig 150 mg film.obl.tbl. 60x;L01XX47;idelalizib;P100*;1.1. V kombinaciji z rituksimabom za zdravljenje bolnikov s kronièno limfocitno levkemijo z velikim tveganjem (delecija 17p/tp53 ali delecija 11q ali kompleksni kariotip ali hitra ponovitev bolezni po drugem zdravljenju v manj kot 24 mesecih), ki niso primerni za intenzivno zdravljenje ali se ne odzovejo na zdravljenje z ofatumumabom ali so kandidati za alogensko presaditev kostnega mozga. 1.2. Kot monoterapija za zdravljenje odraslih bolnikov s folikularnim limfomom, neodzivnim na dve predhodni obliki zdravljenja. 2 Le na osnovi odloèitve Komisije KO za hematologijo UKC Ljubljana ali Komisije za limfome Onkološkega inštituta Ljubljana.;1.4.2016
146753;Airflusan Forspiro 50 mcg/250 mcg/odmerek prašek za inhal. 60 odm.;R03AK06;salmeterol in druge uèinkovine za obstruktivne pljuène bolezni;P70*;1. Za bolnike z astmo, ki imajo ob pravilnem prejemanju zmernega odmerka inhalacijskega glukokortikoida neurejeno astmo (rezultat kombiniranih vprašalnikov urejenosti astme je v obmoèju neurejene astme). 2. Za bolnike s KOPB v skupinah GOLD C in D.;25.4.2016
146754;Airflusan Forspiro 50 mcg/500 mcg/odmerek prašek za inhal. 60 odm.;R03AK06;salmeterol in druge uèinkovine za obstruktivne pljuène bolezni;P70*;1. Za bolnike z astmo, ki imajo ob pravilnem prejemanju zmernega odmerka inhalacijskega glukokortikoida neurejeno astmo (rezultat kombiniranih vprašalnikov urejenosti astme je v obmoèju neurejene astme). 2. Za bolnike s KOPB v skupinah GOLD C in D.;25.4.2016
146763;Vargatef 100 mg mehka kaps. 60x;;;P100*;Le v kombinaciji z docetakselom za zdravljenje odraslih bolnikov z lokalno napredovalim, metastatskim ali lokalno ponovljivim nedrobnoceliènim pljuènim rakom s histologijo adenokarcinoma po kemoterapiji prve izbire. Zdravilo sme na recept predpisovati le internist onkolog ali pulmolog, usposobljen za izvajanje zdravljenja pljuènega raka. Zdravljenje se zaène le na osnovi mnenja Skupine za pljuène tumorje OI Ljubljana ali Konzilija za pljuène tumorje Klinike Golnik.;1.4.2016
146764;Vargatef 150 mg mehka kaps. 60x;;;P100*;Le v kombinaciji z docetakselom za zdravljenje odraslih bolnikov z lokalno napredovalim, metastatskim ali lokalno ponovljivim nedrobnoceliènim pljuènim rakom s histologijo adenokarcinoma po kemoterapiji prve izbire. Zdravilo sme na recept predpisovati le internist onkolog ali pulmolog, usposobljen za izvajanje zdravljenja pljuènega raka. Zdravljenje se zaène le na osnovi mnenja Skupine za pljuène tumorje OI Ljubljana ali Konzilija za pljuène tumorje Klinike Golnik.;1.4.2016
146765;Signifor 40 mg prašek za susp.za inj. viala 1x;H01CB05;pasireotid;P70*;Le za zdravljenje bolnikov z akromegalijo, za katere kirurški poseg ni primeren oziroma pri katerih kirurški poseg ni odpravil bolezni, pri tem pa bolezen ni ustrezno urejena z zdravljenjem z drugim analogom somatostatina.;30.11.2015
146766;Signifor 60 mg prašek za susp.za inj. viala 1x;H01CB05;pasireotid;P70*;Le za zdravljenje bolnikov z akromegalijo, za katere kirurški poseg ni primeren oziroma pri katerih kirurški poseg ni odpravil bolezni, pri tem pa bolezen ni ustrezno urejena z zdravljenjem z drugim analogom somatostatina.;30.11.2015
146784;Lynparza 50 mg trda kaps. 448x;/;-;P100*;Kot monoterapija  za vzdrževalno zdravljenje bolnic z mutacijo gena BRCA, pri katerih je prišlo do ponovitve slabo diferenciranega seroznega epitelijskega raka jajènikov, karcinoma jajcevodov ali primarno peritonealnega karcinoma, obèutljivega na platino, ki so v popolnem ali delnem odzivu na kemoterapijo na osnovi platine.;5.2.2016
146785;Vargatef 100 mg mehka kaps. 120x;/;-;P100*;Le v kombinaciji z docetakselom za zdravljenje odraslih bolnikov z lokalno napredovalim, metastatskim ali lokalno ponovljivim nedrobnoceliènim pljuènim rakom s histologijo adenokarcinoma po kemoterapiji prve izbire. Zdravilo sme na recept predpisovati le internist onkolog ali pulmolog, usposobljen za izvajanje zdravljenja pljuènega raka. Zdravljenje se zaène le na osnovi mnenja Skupine za pljuène tumorje OI Ljubljana ali Konzilija za pljuène tumorje Klinike Golnik.;1.4.2016
146793;Cosentyx 150 mg raz.za inj.peresnik 2x;L04AC10;sekukinumab;P70*;1. Za zdravljenje psoriaze. Zdravilo lahko indicira dermatolog na osnovi izpolnjenih pogojev za uvedbo in prenehanje zdravljenja z biološkim zdravilom v elektronskem registru BioRx.si. 2. Za zdravljenje psoriatiènega artritisa in ankilozirajoèega spondilitisa. Zdravilo lahko indicira revmatolog ali revmatološko usmerjen internist (tega doloèi Klinièni oddelek za revmatologijo) na osnovi izpolnjenih pogojev za uvedbo in prenehanje zdravljenja z biološkim zdravilom pod pogojem, da je bolnik vpisan in voden v elektronskem registru BioRx.si.;30.5.2016
146794;Exviera 250 mg film.obl.tbl. 56x;/;-;P100*;Za zdravljenje kroniène okužbe s hepatitisom C pri odraslih bolnikih s kompenzirano jetrno boleznijo. Zdravilo sme indicirati le pooblašèeni specialist.;29.6.2015
146795;Viekirax 12,5 mg/75 mg/50 mg film.obl.tbl. 56x;/;-;P100*;Za zdravljenje kroniène okužbe s hepatitisom C pri odraslih bolnikih s kompenzirano jetrno boleznijo. Zdravilo sme indicirati le pooblašèeni specialist.;29.6.2015
146807;Pregabalin Krka 150 mg trda kaps. 56x;N03AX16;pregabalin;P70*;Le za dodatno zdravljenje epilepsije.;5.6.2015
146810;Pregabalin Krka 25 mg trda kaps. 56x;N03AX16;pregabalin;P70*;Le za dodatno zdravljenje epilepsije.;5.6.2015
146811;Pregabalin Krka 300 mg trda kaps. 56x;N03AX16;pregabalin;P70*;Le za dodatno zdravljenje epilepsije.;5.6.2015
146813;Pregabalin Krka 75 mg trda kaps. 56x;N03AX16;pregabalin;P70*;Le za dodatno zdravljenje epilepsije.;5.6.2015
146815;Sevelamer Lek 800 mg film.obl.tbl. 180x;V03AE02;sevelamer;PC70*;Za bolnike na dializi, ki imajo kljub ustrezni dieti, dializi in zdravljenju z drugimi fosfatnimi vezalci, plazemsko koncentracijo fosfata veè kot 1,8 mmol/L in vrednost korigiranega kalcija veè kot 2,54 mmol/L, ali pa hude kalcifikacije v žilah in mehkih tkivih.;27.5.2016
146816;Aryzalera 15 mg tbl. 28x;N05AX12;aripiprazol;PC100;;27.5.2016
146818;Aryzalera 10 mg tbl. 28x;N05AX12;aripiprazol;PC100;;27.5.2016
146824;Tolura 40 mg tbl. 84x;C09CA07;telmisartan;V*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;5.2.2016
146825;Tolura 80 mg tbl. 84x;C09CA07;telmisartan;V*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;5.2.2016
146826;Ofev 100 mg mehka kaps. 60x;/;-;P70*;Za bolnike z idiopatsko pljuèno fibrozo na osnovi mnenja in pod nadzorom Multidisciplinarnega tima Klinike Golnik za bolezni pljuènega intersticija.;30.11.2015
146827;Ofev 150 mg mehka kaps. 60x;/;-;P70*;Za bolnike z idiopatsko pljuèno fibrozo na osnovi mnenja in pod nadzorom Multidisciplinarnega tima Klinike Golnik za bolezni pljuènega intersticija.;30.11.2015
146838;Ymana 10 mg film.obl.tbl. 28x;N06DX01;memantin;VC*;Le na osnovi izvida nevrologa ali psihiatra. podrobnosti v Zdravniškem vestniku, februar 2000.69:107-8.;27.5.2016
146842;Ymana 20 mg film.obl.tbl. 28x;N06DX01;memantin;VC*;Le na osnovi izvida nevrologa ali psihiatra. podrobnosti v Zdravniškem vestniku, februar 2000.69:107-8.;27.5.2016
146845;Brimica Genuair 340 mcg/12 mcg prašek za inhal. 60 odm.;R03AL05;formoterol in aklidinijev bromid;P70*;Za bolnike s KOPB v skupinah GOLD C in D. Za bolnike s KOPB v skupini GOLD B, kadar zdravljenje z enim dolgodelujoèim bronhodilatatorjem ni uèinkovito.;30.5.2016
146852;Colobreathe 1.662.500 i.e. prašek za inhal.trda kaps. 56x;J01XB01;kolistin;P70*;Za bolnike s cistièno fibrozo, le na osnovi mnenja Multidisciplinarnega tima za cistièno fibrozo.;30.11.2015
146853;Trulicity 0,75 mg razt.za inj.peresnik 2x;/;-;V*;1. Za bolnike s sladkorno boleznijo tipa 2 ob maksimalnih odmerkih dvotirne peroralne terapije, ki imajo indeks telesne mase enak ali višji od 35 kg/m2. le, èe je prišlo do znižanja glikiranega hemoglobina za veè kot eno odstotno toèko v 6 mesecih po uvedbi zdravljenja. 2. Za bolnike, ki jim je potrebno zdravljenje z inzulinom odložiti zaradi narave poklicnega dela.;1.4.2016
